Heart_Rate,Skin_Conductivity,Hours_Worked,Stress_Level,Emails_Sent,Meetings_Attended
158,5.33,8,59,24,5
69,6.63,13,24,33,6
76,5.38,9,27,38,3
77,5.24,8,15,31,3
108,5.16,13,26,21,5
161,5.19,8,65,25,1
163,3.84,10,56,39,5
140,5.77,16,74,23,6
167,4.87,13,73,15,0
163,6.82,14,86,18,2
76,4.92,16,20,1,6
161,5.42,8,65,46,0
143,5.25,14,83,33,4
58,4.37,15,38,17,1
63,5.99,14,49,14,3
128,6.91,9,88,20,0
118,4.99,9,59,1,1
82,4.7,8,31,40,2
99,4.64,8,29,6,1
155,3.11,8,68,42,5
158,4.82,12,81,6,1
166,5.25,12,81,24,3
100,6.05,13,15,14,2
136,5.96,12,63,19,3
76,4.58,15,17,46,2
92,4.72,16,40,15,6
105,6.12,16,27,27,6
63,4.83,14,48,37,5
88,4.49,12,39,22,0
74,6.39,12,19,31,0
110,6.04,13,86,0,5
158,5.02,11,68,5,4
83,4.41,10,37,4,1
153,2.99,12,55,28,2
157,5.59,9,53,20,0
114,4.1,9,77,17,0
65,3.04,16,37,26,6
87,6.58,11,29,28,1
146,5.65,11,82,10,6
118,3.86,13,72,40,1
149,3.79,11,64,15,2
125,5.87,12,62,28,1
165,4.12,16,68,47,2
65,6.3,11,44,37,3
118,5.62,16,78,9,3
52,5.54,10,18,25,3
77,5.4,10,19,20,0
119,5.19,16,51,43,4
156,5.88,14,54,25,4
99,4.55,8,34,13,2
135,5.09,14,85,0,1
166,5.75,12,81,44,1
74,5.56,16,45,37,4
113,3.81,15,73,38,0
123,4.5,11,57,43,4
149,5.25,10,55,40,0
104,4.59,12,27,43,6
162,6.77,10,51,6,5
67,4.61,8,21,35,0
113,4.84,10,71,8,2
57,5.77,15,23,5,2
71,5.33,11,18,19,6
107,4.85,8,47,29,0
115,4.24,14,71,25,3
105,5.3,8,15,33,6
62,6.04,8,26,10,6
86,5.48,8,31,15,3
151,4.22,10,79,0,6
69,6.74,8,21,42,1
140,3.55,15,55,7,3
168,3.42,12,87,15,2
141,5.96,14,87,26,6
70,5.23,14,29,21,3
158,4.45,14,63,20,6
120,3.9,11,53,19,5
107,7.32,15,47,32,6
62,5.12,16,33,37,1
138,5.53,8,61,0,2
78,5.32,10,48,13,5
107,5.43,16,16,19,5
125,5.54,13,79,36,6
167,5.73,11,70,20,5
72,4.62,8,25,43,3
111,4.71,12,76,46,0
153,3.26,9,78,23,2
70,4.22,16,34,8,4
110,5.27,13,81,37,2
66,6.05,15,47,17,1
145,5.6,14,87,19,5
69,4.66,14,28,16,4
120,3.74,11,56,32,6
103,2.22,14,28,29,5
52,6.15,11,27,50,1
138,4.41,10,57,48,5
59,4.55,13,34,5,1
118,5.13,8,53,32,5
163,3.59,9,61,10,4
131,4.65,15,62,28,6
58,7.02,8,22,45,2
152,5.51,13,67,11,3
75,5.36,10,39,5,2
109,3.42,15,42,8,6
120,7.24,14,69,17,5
75,3.58,8,33,41,3
132,6.92,8,78,18,5
135,2.88,9,65,48,0
57,6.41,12,40,48,3
124,6.62,9,88,19,4
51,4.18,13,34,41,6
121,5.42,14,74,23,1
145,5.55,11,52,0,3
128,4.19,13,66,30,4
140,3.55,12,69,45,6
116,3.68,11,61,23,1
88,5.54,13,29,49,5
72,4.91,16,33,21,6
161,4.44,14,53,10,1
113,5.97,13,82,8,3
147,5.51,16,73,30,0
162,4.24,11,76,29,2
113,3.8,9,55,24,6
143,5.52,14,53,25,4
118,4.46,12,71,8,2
63,5.1,13,49,33,1
94,6.58,16,37,8,4
120,5.5,15,80,1,3
74,4.14,12,26,30,6
78,5.16,9,40,16,4
132,4.05,14,67,8,0
144,6.61,13,82,7,4
110,4.44,12,55,11,0
139,5.21,15,85,44,3
81,5.31,13,24,21,5
162,5.16,11,51,20,6
105,3.04,12,33,19,2
141,3.55,14,88,30,4
165,4.55,12,74,21,6
110,5.32,14,88,49,0
153,4.86,13,65,35,6
60,4.04,15,21,49,0
127,3.65,10,58,12,5
164,4.6,9,79,16,5
82,4.53,8,17,46,1
52,5.51,16,26,19,6
147,4.67,13,79,39,2
104,5.6,9,24,44,0
136,4.41,10,57,22,1
105,4.74,15,16,21,1
145,4.65,12,58,35,3
97,4.22,8,44,0,5
50,5.63,14,44,7,0
155,4.19,11,63,2,4
136,4.48,8,52,3,0
92,4.93,8,47,49,0
108,3.7,8,36,32,2
118,4.68,8,66,28,0
74,4.29,12,30,21,4
142,4.61,10,66,4,3
166,4.94,11,68,1,6
153,4.2,16,69,49,0
159,4.78,11,63,46,0
115,6.31,9,59,10,0
147,4.97,13,52,31,1
90,6.15,8,49,16,0
98,5.35,9,32,47,6
119,5.77,8,76,41,0
84,4.23,16,24,32,0
54,5.1,16,26,33,3
66,5.13,11,17,28,3
135,4.39,14,70,1,6
112,4.18,12,63,48,6
70,3.51,13,43,35,3
88,6.5,12,40,1,5
69,4.03,10,26,43,5
55,6.35,15,39,30,6
93,4.53,9,41,26,6
107,4.14,9,32,42,1
58,5.62,12,46,30,4
139,4.37,15,71,32,4
96,5.57,8,15,0,5
50,4.67,9,39,12,5
118,5.48,8,71,48,5
65,4.03,11,21,24,0
84,5.83,8,44,17,3
99,5.49,8,20,8,4
74,4.08,11,45,18,5
136,7.64,8,84,46,3
52,5.54,8,17,48,4
73,7.29,13,15,45,2
167,6.6,16,69,42,2
115,4.81,14,54,41,2
75,4.59,11,41,36,6
70,4.6,8,46,4,0
88,3.17,16,38,48,4
76,4.3,10,16,2,1
161,5.25,16,79,36,4
145,6.53,15,78,47,6
98,4.23,15,18,26,1
156,5.88,11,57,36,4
114,3.75,8,63,18,0
69,4.41,15,47,10,3
114,4.54,9,58,47,3
70,5.37,12,18,30,5
50,5.46,9,49,2,0
124,5.96,14,54,26,6
80,5.77,8,15,23,2
76,5.24,10,35,28,0
146,5.39,8,59,12,2
62,6.59,15,18,47,0
99,4.49,15,29,21,1
154,5.77,13,82,13,1
144,3.19,16,51,3,3
125,5.41,12,70,14,1
96,4.52,15,28,13,5
128,5,14,62,2,3
103,6.04,12,33,40,3
112,5.16,10,54,30,1
159,5.89,11,58,23,6
82,6.47,8,31,14,6
75,5.39,14,32,16,1
129,6.17,15,62,41,3
149,4.67,10,53,21,0
77,4.99,12,32,16,6
162,4.48,11,54,38,6
105,6.04,16,31,12,2
113,5.41,8,77,25,2
147,4.49,13,75,34,2
76,5.15,14,44,47,6
81,6.04,10,41,29,4
93,4.96,9,40,16,6
66,4.05,14,28,28,0
71,5.13,15,40,27,5
166,3.02,13,82,36,6
84,5.77,14,19,20,5
92,4.58,8,35,19,1
102,4.53,11,18,25,2
102,5.88,11,18,17,3
115,3.63,8,80,31,4
81,6.95,10,43,7,4
89,4.52,12,37,26,1
106,4.48,14,27,1,5
166,6.02,12,51,35,3
82,5.71,11,47,12,3
128,7.45,14,69,14,5
62,4.79,11,47,24,5
147,4.88,8,81,7,4
85,3.52,15,44,24,3
68,4.67,12,29,26,4
149,4.28,8,56,45,1
142,4.55,13,86,20,0
114,3.26,8,77,29,1
77,6.66,14,44,46,4
167,3.58,9,56,49,5
67,2.2,12,43,26,0
52,3.81,8,35,8,3
75,4.4,12,40,47,1
84,3.85,10,37,34,0
55,6.1,9,33,41,3
64,4.86,10,27,2,6
88,5.03,11,48,43,6
144,5.61,10,88,24,4
70,5.29,9,37,40,6
169,5.98,9,78,2,1
69,3.89,11,39,9,6
109,4.45,11,43,24,5
60,5.67,10,46,37,4
160,2.47,15,83,50,4
143,3.62,11,52,30,4
55,5.5,9,23,8,5
131,4.52,15,85,44,3
119,5.94,14,84,23,0
126,5.81,9,70,5,6
140,3.8,11,71,7,3
124,5.41,15,62,35,1
152,6.2,10,55,21,3
139,5.15,10,59,29,4
144,4.02,10,63,45,0
107,5.88,10,34,9,5
105,5.64,9,29,24,1
165,5.54,9,81,48,1
132,5.72,12,75,46,3
120,2.01,12,73,17,2
80,5.88,8,38,28,0
163,6.81,9,67,11,1
52,5.44,12,17,28,0
92,5.19,9,30,18,0
131,5.7,8,55,15,3
61,5.34,13,19,9,3
144,5.65,12,71,40,1
74,5,13,27,39,1
158,4.23,15,56,10,2
125,4,13,72,40,3
147,4,9,53,17,2
108,3.63,11,35,5,0
145,3.93,11,53,50,4
66,6.76,12,35,37,0
73,5.75,11,15,31,1
80,4.37,10,38,47,5
166,4.61,9,52,34,6
166,5.11,13,85,0,5
163,4.34,11,64,47,1
147,5.07,13,82,8,3
94,5.78,11,41,27,1
147,4.96,9,55,35,5
143,5.34,15,86,3,1
62,5.89,15,47,10,5
132,4.73,8,81,21,3
78,5.28,13,46,17,0
126,4.69,10,86,49,2
62,4.97,9,15,37,5
155,4.68,10,64,28,3
68,4.47,9,22,47,5
111,5.17,13,60,43,6
141,5.57,8,87,17,3
103,5.15,8,39,24,6
57,5.5,9,47,46,2
80,4.26,15,31,4,1
80,3.8,13,45,16,5
100,5.42,16,43,29,0
71,5.69,12,47,7,4
114,5.05,10,74,38,3
51,6.35,9,48,28,3
142,5.91,15,84,46,1
54,7.68,15,32,38,5
77,4.8,12,34,30,6
59,4,11,40,49,4
149,4.26,12,76,1,4
164,4.43,12,67,20,2
116,5.48,16,80,28,4
56,2.84,8,19,29,0
86,6.32,13,32,34,1
147,4.76,10,73,11,2
141,4.75,11,61,29,3
144,3.92,15,53,16,2
108,4.89,10,15,4,6
130,5.01,15,87,36,6
150,4.88,15,52,39,4
109,5.34,8,25,31,4
97,4.41,9,48,3,6
166,4.1,10,59,10,1
120,5.55,9,83,41,5
88,5.1,14,27,37,3
110,5.2,15,51,13,0
143,6.06,11,73,44,4
103,3.98,12,39,38,4
164,4.14,16,85,35,6
167,6.26,11,81,44,0
169,3.52,9,59,9,6
164,3.69,11,74,35,2
167,5.82,16,70,35,1
51,5.24,8,39,15,6
53,5.11,10,31,44,5
155,4.91,15,69,30,3
141,5.03,10,87,9,0
78,4.91,9,30,31,6
130,6.36,15,86,27,4
142,4.6,12,84,9,6
59,4.84,16,48,2,3
159,6.79,10,79,1,0
121,5.03,9,61,8,1
127,7.23,9,67,12,5
102,4.9,12,29,18,0
166,6.37,10,67,24,3
59,3.34,13,47,37,0
65,5.15,8,18,1,0
146,3.42,8,78,42,2
142,5.84,10,70,23,5
91,3.79,12,28,17,0
71,5.28,15,38,27,3
127,4.72,8,79,39,3
50,3.84,11,45,28,6
76,3.38,15,28,39,3
124,4.49,15,55,16,1
95,6.74,10,34,2,0
68,4.71,12,30,40,3
53,5.92,9,18,24,6
115,4.94,10,61,46,0
77,5.88,15,24,11,6
131,3.17,12,66,22,4
106,4.6,9,31,31,0
82,5.95,15,26,45,5
137,4.84,14,51,25,6
97,4.91,13,35,31,2
140,4.57,12,68,48,6
123,6.15,13,81,11,2
134,5.3,15,82,43,3
167,5.04,16,70,6,5
114,5.64,11,73,7,4
57,5.59,11,34,47,1
80,5.21,12,32,35,3
159,6.55,13,80,44,1
99,4.94,16,23,45,6
159,5.28,15,52,38,2
95,4.36,10,34,38,4
59,5.15,14,49,12,0
124,6.59,9,54,42,3
97,4.36,11,18,50,0
167,3.87,12,62,13,0
130,6,16,55,41,2
107,4.85,10,24,23,6
59,5.1,10,18,19,4
55,4.95,8,34,1,2
90,5.08,15,44,45,2
140,5.85,16,54,15,4
166,4.16,15,52,50,0
133,3.99,8,80,38,5
60,5.08,15,43,31,5
162,3.39,11,82,16,6
76,3.63,13,24,3,3
108,6.87,14,34,50,2
109,5.76,10,35,16,2
126,4.99,14,84,12,6
113,6.24,8,61,19,3
99,3.96,11,32,43,5
61,4.68,14,25,2,0
62,5.62,10,27,8,4
123,5.89,16,76,29,4
63,5.51,9,34,25,6
68,2.46,13,15,50,4
158,4.03,15,82,26,0
139,5.48,12,68,24,1
163,4.64,12,57,4,1
59,7.54,15,19,9,0
153,5.93,14,51,12,5
76,5.56,12,34,27,5
96,3.88,15,37,8,6
161,4.96,15,85,6,2
58,5.24,16,43,29,3
80,6.13,13,48,25,1
157,5.88,12,65,5,4
55,6.03,11,42,40,0
116,4.08,12,55,45,1
81,6.41,8,26,27,6
133,3.62,13,57,8,3
78,4.46,14,22,26,4
142,5.43,13,75,30,4
166,4.85,8,64,10,3
117,3.99,8,83,38,4
75,4.18,11,19,3,4
163,3.45,13,51,17,3
148,5.53,11,60,9,1
65,6.26,12,34,45,5
106,4.9,13,36,49,5
160,4.6,10,76,1,3
157,3.53,16,64,22,1
144,5.91,13,73,40,5
98,7.21,11,46,4,5
76,3.2,10,27,15,5
127,3.94,15,75,28,6
133,4.32,11,62,28,0
70,4.44,8,27,29,0
149,5.23,16,54,1,4
113,6.61,14,66,31,6
79,6.01,9,36,33,2
114,5.53,15,57,45,4
136,4.28,15,58,24,4
71,3.88,15,34,37,6
156,4.2,15,71,17,0
158,6.55,14,60,30,2
120,4.94,9,85,17,4
119,4.55,16,70,46,5
157,4.82,13,77,45,4
107,5.82,11,23,35,3
81,3.69,14,47,41,2
107,6.41,9,40,17,5
145,5.16,14,55,47,3
122,4.78,15,83,1,6
84,5.44,13,18,27,0
95,5.22,16,19,14,6
132,4.66,8,85,49,0
60,4.75,15,25,44,2
100,4.13,10,27,42,3
93,5.66,8,49,1,5
159,4.47,11,65,3,0
162,4.04,10,66,5,3
150,5.17,9,55,10,6
142,6.33,16,88,16,4
119,4.95,8,77,17,2
131,4.39,8,66,46,3
155,5.4,14,78,20,1
145,6.94,9,58,6,3
61,3.55,11,38,11,5
148,5.38,14,74,3,4
125,5.21,10,65,17,0
100,6.16,9,15,33,6
105,5.99,10,23,14,1
156,4.81,8,82,0,5
143,3.32,9,66,26,6
73,5.81,9,45,28,1
165,4.16,11,63,24,2
98,4.05,10,23,45,1
115,6.15,14,70,33,6
95,4.09,12,28,5,5
111,6.4,15,75,16,0
122,5.34,8,62,27,5
148,5.32,14,62,37,4
154,5.31,16,54,27,6
165,3.36,9,62,1,5
57,3.22,12,33,40,2
74,5.22,10,36,21,0
104,5.57,16,30,3,1
83,5.08,16,20,2,3
143,4.18,14,59,19,6
57,5.02,15,38,15,4
123,4.92,8,75,16,5
104,4.04,16,18,35,6
115,6.01,8,69,8,6
156,3.27,12,53,29,0
63,5.59,13,23,7,3
149,5.38,13,81,25,2
58,6.01,9,36,33,2
147,3.99,16,67,15,4
55,5.1,11,35,34,6
77,7.17,13,35,46,2
102,5.66,12,31,12,5
120,5.1,16,55,13,6
78,5.54,14,27,8,0
139,5.09,10,52,25,3
56,7.19,14,21,8,3
169,5.98,9,79,44,6
64,4.91,11,45,15,6
54,5.25,10,18,34,4
99,4.61,12,39,37,5
152,6.21,16,53,42,5
98,3.59,9,25,32,2
97,3.4,10,45,48,0
79,6.46,8,48,25,0
126,7.15,10,83,50,6
145,5.47,10,53,14,0
122,5.11,15,52,47,5
110,5.66,16,69,24,0
136,4.35,14,55,7,1
145,5.17,14,72,41,5
78,5.04,8,17,16,5
63,5.63,13,17,50,4
169,3.44,14,54,49,5
111,4.49,12,67,5,5
64,5.84,16,40,22,0
102,4.32,16,46,48,6
92,4.01,8,43,32,5
59,7.04,9,36,34,4
96,5.04,12,29,32,3
102,4.42,9,27,27,2
153,3.31,13,66,40,0
82,5.73,12,42,49,4
84,5.7,11,26,38,3
132,4.7,14,74,17,4
163,3.9,13,73,22,4
126,4.98,15,79,38,6
94,4.16,8,34,48,3
75,4.06,16,20,34,2
127,4.9,9,83,33,4
154,3.95,16,72,44,0
157,5.25,8,86,37,5
88,5.61,11,37,25,0
63,4.16,15,43,20,3
154,3.63,13,64,47,1
120,6.56,14,53,8,3
52,4.06,15,30,8,2
84,4.34,12,46,40,1
125,5.21,14,71,25,3
128,5.6,11,68,17,0
74,4.74,15,44,33,1
69,5.46,9,43,4,1
117,4.6,13,56,46,1
140,4.03,14,79,34,2
60,6.43,13,17,22,3
165,7.49,12,87,4,5
105,6.7,15,23,46,0
97,5.14,8,15,13,6
81,6.83,8,41,39,6
83,5.36,9,45,46,5
108,4.52,12,23,35,4
144,5.47,11,86,10,5
122,4.91,12,69,2,1
139,4.02,11,61,28,1
74,4.1,15,29,7,4
62,5.8,16,40,48,5
169,3.15,14,86,22,1
164,5.6,15,58,6,2
54,3.37,16,44,16,6
166,2.88,13,51,31,0
80,3.16,11,30,13,4
59,6.97,8,24,33,6
125,4.8,12,66,16,5
132,5.09,15,54,23,6
117,6.42,9,78,24,5
145,5.93,10,76,0,2
82,3.61,8,35,46,2
134,5.87,8,69,30,5
75,5.18,12,29,48,5
109,4.66,13,16,11,1
123,5.02,9,66,48,2
129,6.28,13,76,4,1
69,4.11,13,43,17,4
134,5.4,13,73,44,0
138,4.99,11,81,40,3
127,3.2,8,79,39,3
166,4.2,10,79,29,1
167,5.19,16,87,38,0
144,6.3,8,72,48,6
151,6,11,81,46,3
116,5.6,15,65,10,4
141,4.18,14,61,37,3
98,6.8,12,31,7,5
152,5.22,11,88,21,0
58,3.99,15,16,33,5
121,4.82,16,69,33,0
110,5.9,12,55,45,2
143,5.01,12,69,43,1
103,5.89,9,47,7,5
147,6.1,16,85,46,6
138,5.4,12,51,46,3
139,4.14,13,71,36,4
145,5.14,15,88,14,6
167,5.05,12,88,42,6
142,6.86,8,72,19,6
95,3.37,13,37,33,6
117,4.87,16,74,25,5
106,4.42,15,27,21,2
134,5.34,14,81,22,6
118,2.56,11,73,44,3
83,6.11,12,40,14,2
58,5.01,16,31,41,1
125,3.16,8,66,4,1
103,4.64,14,34,17,0
86,5.61,14,20,38,6
102,3.41,13,26,21,6
136,5,15,88,15,3
78,3.94,8,18,19,1
138,4.44,16,54,10,5
155,5.03,12,73,40,6
51,5.18,15,43,33,3
53,4.53,15,44,6,3
158,5.27,10,52,4,0
96,5.82,8,16,32,4
116,4.72,11,73,46,2
153,6.43,12,54,20,0
128,6.46,16,51,9,2
54,4.57,13,49,22,5
76,4.36,9,34,37,5
132,3.34,12,83,13,2
52,4.87,16,45,44,2
104,4.64,11,18,48,6
80,5.78,13,36,42,4
84,3.49,14,15,7,4
126,4.72,10,84,37,0
53,5.97,13,48,8,5
91,4.27,14,15,32,4
59,4.24,16,43,20,3
59,3.55,16,24,38,5
135,7.62,9,82,9,3
154,4.25,10,87,11,1
57,3.7,16,20,36,2
53,4.2,8,38,39,4
120,4.23,13,59,12,4
136,4.73,13,70,34,0
75,5.83,16,30,47,6
56,4.7,15,40,26,5
78,4.08,14,17,20,6
122,3.55,12,58,10,2
108,5.02,12,45,23,5
68,5.04,14,34,14,3
146,6.53,8,58,24,5
151,5.09,13,70,50,1
57,4.9,9,33,8,3
166,3.95,15,69,4,3
89,4.69,8,29,37,4
87,4.56,16,31,19,5
95,4.63,13,39,46,5
139,4.04,15,74,34,0
99,5.54,14,44,8,2
124,4.86,10,77,16,6
144,4.8,8,51,43,2
86,3.29,11,30,27,2
157,5.49,10,75,38,0
118,5.49,14,57,47,2
75,4.16,10,45,47,1
66,5.99,14,30,43,2
76,3.64,11,25,36,0
153,4.98,10,79,21,3
166,4.73,12,67,41,5
122,3.68,9,65,30,5
159,5.19,16,79,31,2
145,6.7,10,53,44,0
136,5.07,15,80,15,5
120,4.54,13,60,2,0
145,5.45,11,65,26,1
134,5.11,13,84,19,1
118,5.03,16,87,21,3
109,4.57,10,43,26,3
55,6.42,8,23,8,1
153,5.46,15,82,2,4
51,4.47,15,29,21,4
143,4.89,8,68,25,3
72,4.26,10,36,23,6
96,4.39,15,47,6,3
62,4.36,9,46,23,1
54,3.87,11,28,43,6
122,5.78,11,62,25,3
68,4.71,11,29,5,4
156,5.55,10,59,15,6
50,4.33,12,27,47,3
157,4.94,15,85,4,2
75,4.29,14,39,2,3
87,5.72,10,19,16,5
69,4.75,13,18,26,5
151,4.27,12,61,39,0
165,3.36,8,64,17,2
94,5.28,9,15,23,2
112,4.29,15,82,16,4
164,4.98,8,77,47,0
90,4.51,9,36,1,4
102,5.95,11,23,1,4
96,5.54,10,30,10,4
56,5.45,8,49,45,6
162,4.38,11,86,43,6
92,5.47,13,18,37,0
104,6.71,14,31,17,1
151,4.17,12,51,16,1
57,5.17,12,33,40,3
73,3.35,9,22,24,0
52,6.4,9,29,2,2
152,4.6,12,51,40,1
157,5.78,15,85,10,1
111,3.28,8,83,48,1
61,6.8,8,19,5,6
125,4.64,16,55,25,6
98,5.55,14,39,45,2
86,5.15,10,46,16,3
82,4.74,12,28,27,4
91,6.69,15,49,3,4
85,3.35,12,30,9,3
97,5.3,12,37,24,2
101,5.91,12,19,8,3
73,4.97,15,38,48,4
167,4.88,15,81,0,1
104,4.86,9,28,46,2
113,3.77,14,53,22,3
84,5.04,16,23,3,4
86,5.51,16,25,31,4
69,5.07,12,33,48,5
132,4.73,10,59,6,4
61,4.51,15,19,36,2
153,4.72,13,51,34,0
50,6.26,12,47,49,2
88,2.91,16,44,25,2
71,5.04,13,28,41,0
66,4.67,11,29,16,2
67,6.46,9,40,2,4
71,5.06,9,30,10,4
91,6.48,11,23,49,6
52,2.88,9,34,26,2
152,5.46,8,67,10,3
161,5.28,16,77,17,1
60,6.39,11,48,29,6
166,3.36,9,70,45,5
81,4.84,9,45,6,5
146,5.07,12,82,6,4
109,4.5,8,15,44,6
101,6.22,9,36,31,1
96,4.66,15,31,16,5
58,7.03,15,46,28,0
109,6.05,14,33,14,0
156,5.95,14,70,41,5
90,5.56,8,49,10,6
142,3.94,8,61,12,3
157,4.57,11,81,49,4
161,5.57,8,79,26,6
58,5.68,9,34,1,6
112,6.31,11,78,13,1
103,4.53,9,38,1,1
84,4.14,8,20,0,6
97,5.86,9,34,33,0
145,4.19,11,88,47,3
80,5.87,13,44,40,4
96,6.2,12,40,24,4
109,5.46,13,24,11,6
154,4.64,16,60,14,0
102,5.04,16,35,10,6
66,5.59,8,39,32,5
122,5.01,9,64,20,2
76,7.2,16,42,1,2
60,4.01,15,35,22,6
111,4,8,73,0,2
61,4.02,13,23,30,5
56,4.41,13,27,3,1
72,2.82,14,46,35,0
55,4.37,13,21,20,3
158,4.35,15,73,15,4
169,5.08,13,57,47,0
110,5.42,14,62,5,1
74,3.76,10,16,39,6
61,5.9,8,39,24,3
106,6.8,12,28,8,0
110,4.79,16,68,40,0
148,6.57,11,71,17,0
130,5.2,15,63,27,6
169,6.99,12,56,27,2
147,6.12,11,86,0,2
76,3.44,9,26,15,3
80,5.02,14,17,47,0
101,6.05,15,29,48,1
73,5.03,12,48,40,1
129,4.96,9,63,42,5
154,6.27,8,61,42,3
145,4.29,16,85,20,5
85,5.02,8,46,47,0
93,5.32,16,49,38,1
117,4.67,11,80,33,4
143,4.98,9,75,46,1
103,5.78,16,20,39,0
62,5.43,15,34,23,4
148,4.19,11,80,5,0
169,3.9,11,62,12,5
144,4.21,13,60,42,4
68,5,15,31,0,1
130,4.84,12,73,24,3
162,4.17,12,71,27,6
131,4.4,16,52,2,3
160,3.48,11,69,15,1
67,5.42,11,45,40,1
125,4.96,9,64,6,6
118,3.74,10,58,6,6
98,5.03,11,46,19,5
113,6.34,13,53,48,4
95,4.26,12,35,33,6
54,6.32,16,30,11,5
160,4.68,13,76,40,1
